id,workload,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes,emit_lines,emit_bytes,emit_for_loops,emit_repeat_loops,emit_rr_index_reads,emit_rr_index_writes,emit_rr_call_map_helpers,emit_assign_slice_helpers,emit_sym_helpers,pulse_vectorized,pulse_reduced,pulse_vector_loops_seen,pulse_vector_skipped,pulse_vector_candidate_total,pulse_vector_candidate_reductions,pulse_vector_candidate_conditionals,pulse_vector_candidate_recurrences,pulse_vector_candidate_shifted,pulse_vector_candidate_call_maps,pulse_vector_candidate_expr_maps,pulse_vector_candidate_scatters,pulse_vector_candidate_cube_slices,pulse_vector_candidate_basic_maps,pulse_vector_candidate_multi_exprs,pulse_vector_candidate_2d,pulse_vector_candidate_3d,pulse_vector_candidate_call_map_direct,pulse_vector_candidate_call_map_runtime,pulse_vector_applied_total,pulse_vector_applied_reductions,pulse_vector_applied_conditionals,pulse_vector_applied_recurrences,pulse_vector_applied_shifted,pulse_vector_applied_call_maps,pulse_vector_applied_expr_maps,pulse_vector_applied_scatters,pulse_vector_applied_cube_slices,pulse_vector_applied_basic_maps,pulse_vector_applied_multi_exprs,pulse_vector_applied_2d,pulse_vector_applied_3d,pulse_vector_applied_call_map_direct,pulse_vector_applied_call_map_runtime,pulse_vector_trip_tier_tiny,pulse_vector_trip_tier_small,pulse_vector_trip_tier_medium,pulse_vector_trip_tier_large,pulse_simplified_loops,pulse_licm_hits,pulse_sccp_hits,pulse_gvn_hits,pulse_bce_hits,pulse_simplify_hits,pulse_dce_hits
vector_rr_o0,vector,Vector Fusion RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o0.R,201.0;212.6;195.3,203.0,201.0,8.8,195.3,212.6,RR-emitted R on GNU R at -O0,101,3065,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vector_rr_o0_warm,vector,Vector Fusion RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o0_warm.R,176.6;163.9;165.7,168.8,165.7,6.9,163.9,176.6,RR-emitted O0 kernel averaged across repeated warm calls in one R process,101,3065,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vector_rr_o1,vector,Vector Fusion RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o1.R,93.6;96.7;88.2,92.9,93.6,4.3,88.2,96.7,RR-emitted R on GNU R at -O1,79,2687,0,1,0,0,0,0,3,3,2,30,25,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30,0,3,1,0,6,5,29,0
vector_rr_o1_warm,vector,Vector Fusion RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o1_warm.R,9.1;9.0;8.9,9.0,9.0,0.1,8.9,9.1,RR-emitted O1 kernel averaged across repeated warm calls in one R process,79,2687,0,1,0,0,0,0,3,3,2,30,25,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30,0,3,1,0,6,5,29,0
vector_rr_o2,vector,Vector Fusion RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o2.R,90.7;88.9;88.9,89.5,88.9,1.0,88.9,90.7,RR-emitted R on GNU R at -O2,79,2687,0,1,0,0,0,0,3,3,2,30,25,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30,0,3,1,0,6,5,29,0
vector_rr_o2_warm,vector,Vector Fusion RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o2_warm.R,9.2;9.1;9.7,9.3,9.2,0.4,9.1,9.7,RR-emitted O2 kernel averaged across repeated warm calls in one R process,79,2687,0,1,0,0,0,0,3,3,2,30,25,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30,0,3,1,0,6,5,29,0
orbital_rr_o0,orbital,Orbital Sweep RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o0.R,109.2;105.1;108.2,107.5,108.2,2.1,105.1,109.2,RR-emitted R on GNU R at -O0,107,3326,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orbital_rr_o0_warm,orbital,Orbital Sweep RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o0_warm.R,45.8;56.1;43.9,48.6,45.8,6.6,43.9,56.1,RR-emitted O0 kernel averaged across repeated warm calls in one R process,107,3326,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orbital_rr_o1,orbital,Orbital Sweep RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o1.R,119.0;105.0;103.5,109.2,105.0,8.6,103.5,119.0,RR-emitted R on GNU R at -O1,108,3518,0,3,0,0,0,0,4,1,2,52,49,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,24,3,1,0,6,4,26,0
orbital_rr_o1_warm,orbital,Orbital Sweep RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o1_warm.R,43.9;44.3;46.8,45.0,44.3,1.6,43.9,46.8,RR-emitted O1 kernel averaged across repeated warm calls in one R process,108,3518,0,3,0,0,0,0,4,1,2,52,49,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,24,3,1,0,6,4,26,0
orbital_rr_o2,orbital,Orbital Sweep RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o2.R,118.0;225.7;144.6,162.8,144.6,56.1,118.0,225.7,RR-emitted R on GNU R at -O2,108,3518,0,3,0,0,0,0,4,1,2,52,49,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,24,3,1,0,6,4,26,0
orbital_rr_o2_warm,orbital,Orbital Sweep RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o2_warm.R,58.9;49.5;46.0,51.5,49.5,6.7,46.0,58.9,RR-emitted O2 kernel averaged across repeated warm calls in one R process,108,3518,0,3,0,0,0,0,4,1,2,52,49,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,24,3,1,0,6,4,26,0
bootstrap_rr_o0,bootstrap,Bootstrap Resample RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_rr_o0.R,181.1;181.4;165.4,176.0,181.1,9.2,165.4,181.4,RR-emitted R on GNU R at -O0,184,6102,0,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bootstrap_rr_o0_warm,bootstrap,Bootstrap Resample RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_rr_o0_warm.R,88.2;90.3;86.3,88.3,88.2,2.0,86.3,90.3,RR-emitted O0 kernel averaged across repeated warm calls in one R process,184,6102,0,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bootstrap_rr_o1,bootstrap,Bootstrap Resample RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_rr_o1.R,111.3;106.7;107.2,108.4,107.2,2.5,106.7,111.3,RR-emitted R on GNU R at -O1,162,5474,0,2,1,0,0,0,4,2,3,30,25,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,1,3,1,0,6,5,29,0
bootstrap_rr_o1_warm,bootstrap,Bootstrap Resample RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_rr_o1_warm.R,22.3;22.5;22.5,22.4,22.5,0.1,22.3,22.5,RR-emitted O1 kernel averaged across repeated warm calls in one R process,162,5474,0,2,1,0,0,0,4,2,3,30,25,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,1,3,1,0,6,5,29,0
bootstrap_rr_o2,bootstrap,Bootstrap Resample RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_rr_o2.R,114.9;108.4;106.6,110.0,108.4,4.3,106.6,114.9,RR-emitted R on GNU R at -O2,162,5474,0,2,1,0,0,0,4,2,3,30,25,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,1,3,1,0,6,5,29,0
bootstrap_rr_o2_warm,bootstrap,Bootstrap Resample RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_rr_o2_warm.R,22.6;22.3;22.5,22.5,22.5,0.1,22.3,22.6,RR-emitted O2 kernel averaged across repeated warm calls in one R process,162,5474,0,2,1,0,0,0,4,2,3,30,25,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,1,3,1,0,6,5,29,0
