id,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes,emit_lines,emit_bytes,emit_for_loops,emit_repeat_loops,emit_rr_index_reads,emit_rr_index_writes,emit_rr_call_map_helpers,emit_assign_slice_helpers,emit_sym_helpers,pulse_vectorized,pulse_reduced,pulse_vector_loops_seen,pulse_vector_skipped,pulse_vector_candidate_total,pulse_vector_candidate_reductions,pulse_vector_candidate_conditionals,pulse_vector_candidate_recurrences,pulse_vector_candidate_shifted,pulse_vector_candidate_call_maps,pulse_vector_candidate_expr_maps,pulse_vector_candidate_scatters,pulse_vector_candidate_cube_slices,pulse_vector_candidate_basic_maps,pulse_vector_candidate_multi_exprs,pulse_vector_candidate_2d,pulse_vector_candidate_3d,pulse_vector_candidate_call_map_direct,pulse_vector_candidate_call_map_runtime,pulse_vector_applied_total,pulse_vector_applied_reductions,pulse_vector_applied_conditionals,pulse_vector_applied_recurrences,pulse_vector_applied_shifted,pulse_vector_applied_call_maps,pulse_vector_applied_expr_maps,pulse_vector_applied_scatters,pulse_vector_applied_cube_slices,pulse_vector_applied_basic_maps,pulse_vector_applied_multi_exprs,pulse_vector_applied_2d,pulse_vector_applied_3d,pulse_vector_applied_call_map_direct,pulse_vector_applied_call_map_runtime,pulse_vector_trip_tier_tiny,pulse_vector_trip_tier_small,pulse_vector_trip_tier_medium,pulse_vector_trip_tier_large,pulse_simplified_loops,pulse_licm_hits,pulse_sccp_hits,pulse_gvn_hits,pulse_bce_hits,pulse_simplify_hits,pulse_dce_hits
direct_r_scalar,Direct base R (scalar),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_scalar.R,2590.1;2514.2;2431.2,2511.9,2514.2,79.5,2431.2,2590.1,loop-based scalar base-R baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_r_vector,Direct base R (vectorized),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_vector.R,415.6;451.2;383.5,416.8,415.6,33.9,383.5,451.2,idiomatic base-R vector baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_r_vector_warm,"Direct base R (vectorized, warm avg x10)",Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_vector_warm.R,232.7;240.8;240.0,237.8,240.0,4.4,232.7,240.8,same vector kernel averaged across repeated warm calls in one R process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr_o2_gnur,RR O2 on GNU R,Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2.R,379.6;386.7;380.9,382.4,380.9,3.8,379.6,386.7,RR-emitted R from example/benchmarks/signal_pipeline_bench.rr at -O2,74,2768,0,1,0,0,0,0,2,4,0,17,13,6,0,1,0,0,2,3,0,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,1,5,0
rr_o2_gnur_warm,RR O2 on GNU R (warm avg x10),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2_warm.R,257.9;262.2;236.5,252.2,257.9,13.8,236.5,262.2,RR-emitted O2 kernel averaged across repeated warm calls in one R process,74,2768,0,1,0,0,0,0,2,4,0,17,13,6,0,1,0,0,2,3,0,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,1,5,0
c_o3,C O3 native,clang 17,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_c,35.9;23.6;24.2,27.9,24.2,7.0,23.6,35.9,single-threaded clang -O3 build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy,NumPy,python3,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_numpy.py,175.9;209.2;179.9,188.3,179.9,18.2,175.9,209.2,vectorized array math on CPython,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julia,Julia,julia,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline.jl,1024.3;501.5;510.4,678.7,510.4,299.3,501.5,1024.3,Base Julia loops with @inbounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
