id,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes,emit_lines,emit_bytes,emit_for_loops,emit_repeat_loops,emit_rr_index_reads,emit_rr_index_writes,emit_rr_call_map_helpers,emit_assign_slice_helpers,emit_sym_helpers,pulse_vectorized,pulse_reduced,pulse_vector_loops_seen,pulse_vector_skipped,pulse_vector_candidate_total,pulse_vector_candidate_reductions,pulse_vector_candidate_conditionals,pulse_vector_candidate_recurrences,pulse_vector_candidate_shifted,pulse_vector_candidate_call_maps,pulse_vector_candidate_expr_maps,pulse_vector_candidate_scatters,pulse_vector_candidate_cube_slices,pulse_vector_candidate_basic_maps,pulse_vector_candidate_multi_exprs,pulse_vector_candidate_2d,pulse_vector_candidate_3d,pulse_vector_candidate_call_map_direct,pulse_vector_candidate_call_map_runtime,pulse_vector_applied_total,pulse_vector_applied_reductions,pulse_vector_applied_conditionals,pulse_vector_applied_recurrences,pulse_vector_applied_shifted,pulse_vector_applied_call_maps,pulse_vector_applied_expr_maps,pulse_vector_applied_scatters,pulse_vector_applied_cube_slices,pulse_vector_applied_basic_maps,pulse_vector_applied_multi_exprs,pulse_vector_applied_2d,pulse_vector_applied_3d,pulse_vector_applied_call_map_direct,pulse_vector_applied_call_map_runtime,pulse_vector_trip_tier_tiny,pulse_vector_trip_tier_small,pulse_vector_trip_tier_medium,pulse_vector_trip_tier_large,pulse_simplified_loops,pulse_licm_hits,pulse_sccp_hits,pulse_gvn_hits,pulse_bce_hits,pulse_simplify_hits,pulse_dce_hits
direct_r_scalar,Direct base R (scalar),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_scalar.R,4548.5;4278.5;4214.6,4347.2,4278.5,177.2,4214.6,4548.5,loop-based scalar base-R baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_r_vector,Direct base R (vectorized),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_vector.R,738.1;722.2;669.0,709.8,722.2,36.2,669.0,738.1,idiomatic base-R vector baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_r_vector_warm,"Direct base R (vectorized, warm avg x10)",Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_vector_warm.R,465.7;497.4;500.3,487.8,497.4,19.2,465.7,500.3,same vector kernel averaged across repeated warm calls in one R process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr_o2_gnur,RR O2 on GNU R,Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2.R,899.0;835.9;795.8,843.6,835.9,52.0,795.8,899.0,RR-emitted R from example/benchmarks/signal_pipeline_bench.rr at -O2,74,2768,0,1,0,0,0,0,2,4,0,17,13,6,0,1,0,0,2,3,0,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,1,5,0
rr_o2_gnur_warm,RR O2 on GNU R (warm avg x10),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2_warm.R,585.2;493.2;488.4,522.3,493.2,54.6,488.4,585.2,RR-emitted O2 kernel averaged across repeated warm calls in one R process,74,2768,0,1,0,0,0,0,2,4,0,17,13,6,0,1,0,0,2,3,0,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,1,5,0
c_o3,C O3 native,clang 17,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_c,56.9;43.3;42.0,47.4,43.3,8.3,42.0,56.9,single-threaded clang -O3 build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy,NumPy,python3,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_numpy.py,410.7;370.1;374.9,385.2,374.9,22.2,370.1,410.7,vectorized array math on CPython,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julia,Julia,julia,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline.jl,1723.9;880.9;916.3,1173.7,916.3,476.8,880.9,1723.9,Base Julia loops with @inbounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
