id,workload,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes,emit_lines,emit_bytes,emit_for_loops,emit_repeat_loops,emit_rr_index_reads,emit_rr_index_writes,emit_rr_call_map_helpers,emit_assign_slice_helpers,emit_sym_helpers,pulse_vectorized,pulse_reduced,pulse_vector_loops_seen,pulse_vector_skipped,pulse_vector_candidate_total,pulse_vector_candidate_reductions,pulse_vector_candidate_conditionals,pulse_vector_candidate_recurrences,pulse_vector_candidate_shifted,pulse_vector_candidate_call_maps,pulse_vector_candidate_expr_maps,pulse_vector_candidate_scatters,pulse_vector_candidate_cube_slices,pulse_vector_candidate_basic_maps,pulse_vector_candidate_multi_exprs,pulse_vector_candidate_2d,pulse_vector_candidate_3d,pulse_vector_candidate_call_map_direct,pulse_vector_candidate_call_map_runtime,pulse_vector_applied_total,pulse_vector_applied_reductions,pulse_vector_applied_conditionals,pulse_vector_applied_recurrences,pulse_vector_applied_shifted,pulse_vector_applied_call_maps,pulse_vector_applied_expr_maps,pulse_vector_applied_scatters,pulse_vector_applied_cube_slices,pulse_vector_applied_basic_maps,pulse_vector_applied_multi_exprs,pulse_vector_applied_2d,pulse_vector_applied_3d,pulse_vector_applied_call_map_direct,pulse_vector_applied_call_map_runtime,pulse_vector_trip_tier_tiny,pulse_vector_trip_tier_small,pulse_vector_trip_tier_medium,pulse_vector_trip_tier_large,pulse_simplified_loops,pulse_licm_hits,pulse_sccp_hits,pulse_gvn_hits,pulse_bce_hits,pulse_simplify_hits,pulse_dce_hits
heat_rr_o0,heat,Heat Diffusion RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o0.R,126.6;127.6;127.6,127.3,127.6,0.6,126.6,127.6,RR-emitted R on GNU R at -O0,112,3266,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_rr_o0_warm,heat,Heat Diffusion RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o0_warm.R,64.5;64.4;64.7,64.5,64.5,0.2,64.4,64.7,RR-emitted O0 kernel averaged across repeated warm calls in one R process,112,3266,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_rr_o1,heat,Heat Diffusion RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o1.R,106.3;106.6;105.5,106.1,106.3,0.6,105.5,106.6,RR-emitted R on GNU R at -O1,203,6883,0,1,3,0,0,1,3,2,2,29,25,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,24,3,1,0,6,5,28,0
heat_rr_o1_warm,heat,Heat Diffusion RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o1_warm.R,12.8;12.5;12.3,12.5,12.5,0.3,12.3,12.8,RR-emitted O1 kernel averaged across repeated warm calls in one R process,203,6883,0,1,3,0,0,1,3,2,2,29,25,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,24,3,1,0,6,5,28,0
heat_rr_o2,heat,Heat Diffusion RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o2.R,105.1;135.9;173.8,138.3,135.9,34.4,105.1,173.8,RR-emitted R on GNU R at -O2,203,6883,0,1,3,0,0,1,3,2,2,29,25,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,24,3,1,0,6,5,28,0
heat_rr_o2_warm,heat,Heat Diffusion RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o2_warm.R,13.3;12.9;14.9,13.7,13.3,1.0,12.9,14.9,RR-emitted O2 kernel averaged across repeated warm calls in one R process,203,6883,0,1,3,0,0,1,3,2,2,29,25,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,24,3,1,0,6,5,28,0
reaction_rr_o0,reaction,Reaction Diffusion RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o0.R,311.3;302.5;401.5,338.4,311.3,54.8,302.5,401.5,RR-emitted R on GNU R at -O0,127,3728,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reaction_rr_o0_warm,reaction,Reaction Diffusion RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o0_warm.R,260.7;267.5;258.4,262.2,260.7,4.8,258.4,267.5,RR-emitted O0 kernel averaged across repeated warm calls in one R process,127,3728,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reaction_rr_o1,reaction,Reaction Diffusion RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o1.R,113.7;112.6;119.9,115.4,113.7,3.9,112.6,119.9,RR-emitted R on GNU R at -O1,211,7968,0,1,5,0,0,2,3,3,2,30,25,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,24,3,1,0,6,5,28,0
reaction_rr_o1_warm,reaction,Reaction Diffusion RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o1_warm.R,20.3;20.3;20.4,20.3,20.3,0.1,20.3,20.4,RR-emitted O1 kernel averaged across repeated warm calls in one R process,211,7968,0,1,5,0,0,2,3,3,2,30,25,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,24,3,1,0,6,5,28,0
