id,workload,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes,emit_lines,emit_bytes,emit_for_loops,emit_repeat_loops,emit_rr_index_reads,emit_rr_index_writes,emit_rr_call_map_helpers,emit_assign_slice_helpers,emit_sym_helpers,pulse_vectorized,pulse_reduced,pulse_vector_loops_seen,pulse_vector_skipped,pulse_vector_candidate_total,pulse_vector_candidate_reductions,pulse_vector_candidate_conditionals,pulse_vector_candidate_recurrences,pulse_vector_candidate_shifted,pulse_vector_candidate_call_maps,pulse_vector_candidate_expr_maps,pulse_vector_candidate_scatters,pulse_vector_candidate_cube_slices,pulse_vector_candidate_basic_maps,pulse_vector_candidate_multi_exprs,pulse_vector_candidate_2d,pulse_vector_candidate_3d,pulse_vector_candidate_call_map_direct,pulse_vector_candidate_call_map_runtime,pulse_vector_applied_total,pulse_vector_applied_reductions,pulse_vector_applied_conditionals,pulse_vector_applied_recurrences,pulse_vector_applied_shifted,pulse_vector_applied_call_maps,pulse_vector_applied_expr_maps,pulse_vector_applied_scatters,pulse_vector_applied_cube_slices,pulse_vector_applied_basic_maps,pulse_vector_applied_multi_exprs,pulse_vector_applied_2d,pulse_vector_applied_3d,pulse_vector_applied_call_map_direct,pulse_vector_applied_call_map_runtime,pulse_vector_trip_tier_tiny,pulse_vector_trip_tier_small,pulse_vector_trip_tier_medium,pulse_vector_trip_tier_large,pulse_simplified_loops,pulse_licm_hits,pulse_sccp_hits,pulse_gvn_hits,pulse_bce_hits,pulse_simplify_hits,pulse_dce_hits
heat_rr_o0,heat,Heat Diffusion RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o0.R,265.8;282.2;301.3,283.1,282.2,17.8,265.8,301.3,RR-emitted R on GNU R at -O0,112,3298,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_rr_o0_warm,heat,Heat Diffusion RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o0_warm.R,114.1;124.8;123.9,121.0,123.9,5.9,114.1,124.8,RR-emitted O0 kernel averaged across repeated warm calls in one R process,112,3298,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_rr_o1,heat,Heat Diffusion RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o1.R,243.7;247.2;228.5,239.8,243.7,10.0,228.5,247.2,RR-emitted R on GNU R at -O1,199,6798,0,1,3,0,0,1,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,6,5,28,1
heat_rr_o1_warm,heat,Heat Diffusion RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o1_warm.R,25.0;26.7;24.7,25.4,25.0,1.1,24.7,26.7,RR-emitted O1 kernel averaged across repeated warm calls in one R process,199,6798,0,1,3,0,0,1,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,6,5,28,1
heat_rr_o2,heat,Heat Diffusion RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o2.R,226.8;235.2;233.6,231.9,233.6,4.5,226.8,235.2,RR-emitted R on GNU R at -O2,199,6798,0,1,3,0,0,1,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,6,5,28,1
heat_rr_o2_warm,heat,Heat Diffusion RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o2_warm.R,27.9;25.1;27.1,26.7,27.1,1.4,25.1,27.9,RR-emitted O2 kernel averaged across repeated warm calls in one R process,199,6798,0,1,3,0,0,1,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,6,5,28,1
reaction_rr_o0,reaction,Reaction Diffusion RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o0.R,665.0;759.6;817.3,747.3,759.6,76.9,665.0,817.3,RR-emitted R on GNU R at -O0,127,3706,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reaction_rr_o0_warm,reaction,Reaction Diffusion RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o0_warm.R,512.7;530.2;513.9,518.9,513.9,9.8,512.7,530.2,RR-emitted O0 kernel averaged across repeated warm calls in one R process,127,3706,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reaction_rr_o1,reaction,Reaction Diffusion RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o1.R,253.0;226.2;235.5,238.2,235.5,13.6,226.2,253.0,RR-emitted R on GNU R at -O1,206,7348,0,1,3,0,0,2,2,3,2,31,26,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,6,24,3,1,0,6,5,28,2
reaction_rr_o1_warm,reaction,Reaction Diffusion RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o1_warm.R,32.7;36.5;37.9,35.7,36.5,2.7,32.7,37.9,RR-emitted O1 kernel averaged across repeated warm calls in one R process,206,7348,0,1,3,0,0,2,2,3,2,31,26,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,6,24,3,1,0,6,5,28,2
