id,workload,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes,emit_lines,emit_bytes,emit_for_loops,emit_repeat_loops,emit_rr_index_reads,emit_rr_index_writes,emit_rr_call_map_helpers,emit_assign_slice_helpers,emit_sym_helpers,pulse_vectorized,pulse_reduced,pulse_vector_loops_seen,pulse_vector_skipped,pulse_vector_candidate_total,pulse_vector_candidate_reductions,pulse_vector_candidate_conditionals,pulse_vector_candidate_recurrences,pulse_vector_candidate_shifted,pulse_vector_candidate_call_maps,pulse_vector_candidate_expr_maps,pulse_vector_candidate_scatters,pulse_vector_candidate_cube_slices,pulse_vector_candidate_basic_maps,pulse_vector_candidate_multi_exprs,pulse_vector_candidate_2d,pulse_vector_candidate_3d,pulse_vector_candidate_call_map_direct,pulse_vector_candidate_call_map_runtime,pulse_vector_applied_total,pulse_vector_applied_reductions,pulse_vector_applied_conditionals,pulse_vector_applied_recurrences,pulse_vector_applied_shifted,pulse_vector_applied_call_maps,pulse_vector_applied_expr_maps,pulse_vector_applied_scatters,pulse_vector_applied_cube_slices,pulse_vector_applied_basic_maps,pulse_vector_applied_multi_exprs,pulse_vector_applied_2d,pulse_vector_applied_3d,pulse_vector_applied_call_map_direct,pulse_vector_applied_call_map_runtime,pulse_vector_trip_tier_tiny,pulse_vector_trip_tier_small,pulse_vector_trip_tier_medium,pulse_vector_trip_tier_large,pulse_simplified_loops,pulse_licm_hits,pulse_sccp_hits,pulse_gvn_hits,pulse_bce_hits,pulse_simplify_hits,pulse_dce_hits
heat_rr_o0,heat,Heat Diffusion RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o0.R,506.6;612.3;469.7,529.5,506.6,74.0,469.7,612.3,RR-emitted R on GNU R at -O0,112,3298,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_rr_o0_warm,heat,Heat Diffusion RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o0_warm.R,240.5;198.3;198.8,212.5,198.8,24.2,198.3,240.5,RR-emitted O0 kernel averaged across repeated warm calls in one R process,112,3298,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_rr_o1,heat,Heat Diffusion RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o1.R,421.0;426.1;483.9,443.7,426.1,34.9,421.0,483.9,RR-emitted R on GNU R at -O1,199,6798,0,1,3,0,0,1,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,6,5,28,1
heat_rr_o1_warm,heat,Heat Diffusion RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o1_warm.R,48.6;58.8;63.0,56.8,58.8,7.4,48.6,63.0,RR-emitted O1 kernel averaged across repeated warm calls in one R process,199,6798,0,1,3,0,0,1,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,6,5,28,1
heat_rr_o2,heat,Heat Diffusion RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o2.R,477.2;441.6;419.2,446.0,441.6,29.2,419.2,477.2,RR-emitted R on GNU R at -O2,199,6798,0,1,3,0,0,1,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,6,5,28,1
heat_rr_o2_warm,heat,Heat Diffusion RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/heat/heat_rr_o2_warm.R,58.6;52.7;62.3,57.9,58.6,4.9,52.7,62.3,RR-emitted O2 kernel averaged across repeated warm calls in one R process,199,6798,0,1,3,0,0,1,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,6,5,28,1
reaction_rr_o0,reaction,Reaction Diffusion RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o0.R,1238.0;1175.3;1223.5,1212.3,1223.5,32.8,1175.3,1238.0,RR-emitted R on GNU R at -O0,127,3706,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reaction_rr_o0_warm,reaction,Reaction Diffusion RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o0_warm.R,975.2;1006.3;1019.6,1000.4,1006.3,22.8,975.2,1019.6,RR-emitted O0 kernel averaged across repeated warm calls in one R process,127,3706,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reaction_rr_o1,reaction,Reaction Diffusion RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o1.R,516.0;441.5;521.5,493.0,516.0,44.7,441.5,521.5,RR-emitted R on GNU R at -O1,206,7348,0,1,3,0,0,2,2,3,2,31,26,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,6,24,3,1,0,6,5,28,2
reaction_rr_o1_warm,reaction,Reaction Diffusion RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/diffusion_backend_bench/reaction/reaction_rr_o1_warm.R,70.5;84.8;69.9,75.1,70.5,8.4,69.9,84.8,RR-emitted O1 kernel averaged across repeated warm calls in one R process,206,7348,0,1,3,0,0,2,2,3,2,31,26,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,5,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,6,24,3,1,0,6,5,28,2
