id,label,engine,warm_iters,elapsed_ms,alloc_events,alloc_bytes,alloc_mb,ncells_used,ncells_trigger,vcells_used,vcells_trigger,notes
direct_r_vector_warm,Direct base R vectorized warm,GNU R,10,87.3,3734,4910484792,4683.003,373800,715782,711183,8388608,Rprofmem allocation pressure for the idiomatic vectorized base-R kernel
rr_o2_gnur_warm,RR O2 GNU R warm,GNU R,10,85.3,4159,4880621160,4654.523,376551,715782,746577,8388608,Rprofmem allocation pressure for the RR O2 emitted kernel
