id,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes,emit_lines,emit_bytes,emit_for_loops,emit_repeat_loops,emit_rr_index_reads,emit_rr_index_writes,emit_rr_call_map_helpers,emit_assign_slice_helpers,emit_sym_helpers,pulse_vectorized,pulse_reduced,pulse_vector_loops_seen,pulse_vector_skipped,pulse_vector_candidate_total,pulse_vector_candidate_reductions,pulse_vector_candidate_conditionals,pulse_vector_candidate_recurrences,pulse_vector_candidate_shifted,pulse_vector_candidate_call_maps,pulse_vector_candidate_expr_maps,pulse_vector_candidate_scatters,pulse_vector_candidate_cube_slices,pulse_vector_candidate_basic_maps,pulse_vector_candidate_multi_exprs,pulse_vector_candidate_2d,pulse_vector_candidate_3d,pulse_vector_candidate_call_map_direct,pulse_vector_candidate_call_map_runtime,pulse_vector_applied_total,pulse_vector_applied_reductions,pulse_vector_applied_conditionals,pulse_vector_applied_recurrences,pulse_vector_applied_shifted,pulse_vector_applied_call_maps,pulse_vector_applied_expr_maps,pulse_vector_applied_scatters,pulse_vector_applied_cube_slices,pulse_vector_applied_basic_maps,pulse_vector_applied_multi_exprs,pulse_vector_applied_2d,pulse_vector_applied_3d,pulse_vector_applied_call_map_direct,pulse_vector_applied_call_map_runtime,pulse_vector_trip_tier_tiny,pulse_vector_trip_tier_small,pulse_vector_trip_tier_medium,pulse_vector_trip_tier_large,pulse_simplified_loops,pulse_licm_hits,pulse_sccp_hits,pulse_gvn_hits,pulse_bce_hits,pulse_simplify_hits,pulse_dce_hits
direct_r_scalar,Direct base R (scalar),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_scalar.R,1199.1;1100.4;1091.1,1130.2,1100.4,59.9,1091.1,1199.1,loop-based scalar base-R baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_r_vector,Direct base R (vectorized),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_vector.R,187.9;173.0;175.9,178.9,175.9,7.9,173.0,187.9,idiomatic base-R vector baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_r_vector_warm,"Direct base R (vectorized, warm avg x10)",Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_vector_warm.R,94.4;94.5;99.8,96.2,94.5,3.1,94.4,99.8,same vector kernel averaged across repeated warm calls in one R process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr_o2_gnur,RR O2 on GNU R,Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2.R,170.0;164.1;171.6,168.6,170.0,3.9,164.1,171.6,RR-emitted R from example/benchmarks/signal_pipeline_bench.rr at -O2,77,2819,0,1,0,0,0,0,2,4,0,19,15,6,0,1,0,0,2,3,0,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,1,5,0
rr_o2_gnur_warm,RR O2 on GNU R (warm avg x10),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2_warm.R,89.3;90.5;91.7,90.5,90.5,1.2,89.3,91.7,RR-emitted O2 kernel averaged across repeated warm calls in one R process,77,2819,0,1,0,0,0,0,2,4,0,19,15,6,0,1,0,0,2,3,0,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,1,5,0
c_o3,C O3 native,clang 17,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_c,11.0;10.8;10.9,10.9,10.9,0.1,10.8,11.0,single-threaded clang -O3 build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy,NumPy,python3,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_numpy.py,93.8;78.0;78.2,83.3,78.2,9.1,78.0,93.8,vectorized array math on CPython,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julia,Julia,julia,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline.jl,242.6;235.6;244.6,240.9,242.6,4.7,235.6,244.6,Base Julia loops with @inbounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
