id,workload,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes,emit_lines,emit_bytes,emit_for_loops,emit_repeat_loops,emit_rr_index_reads,emit_rr_index_writes,emit_rr_call_map_helpers,emit_assign_slice_helpers,emit_sym_helpers,pulse_vectorized,pulse_reduced,pulse_vector_loops_seen,pulse_vector_skipped,pulse_vector_candidate_total,pulse_vector_candidate_reductions,pulse_vector_candidate_conditionals,pulse_vector_candidate_recurrences,pulse_vector_candidate_shifted,pulse_vector_candidate_call_maps,pulse_vector_candidate_expr_maps,pulse_vector_candidate_scatters,pulse_vector_candidate_cube_slices,pulse_vector_candidate_basic_maps,pulse_vector_candidate_multi_exprs,pulse_vector_candidate_2d,pulse_vector_candidate_3d,pulse_vector_candidate_call_map_direct,pulse_vector_candidate_call_map_runtime,pulse_vector_applied_total,pulse_vector_applied_reductions,pulse_vector_applied_conditionals,pulse_vector_applied_recurrences,pulse_vector_applied_shifted,pulse_vector_applied_call_maps,pulse_vector_applied_expr_maps,pulse_vector_applied_scatters,pulse_vector_applied_cube_slices,pulse_vector_applied_basic_maps,pulse_vector_applied_multi_exprs,pulse_vector_applied_2d,pulse_vector_applied_3d,pulse_vector_applied_call_map_direct,pulse_vector_applied_call_map_runtime,pulse_vector_trip_tier_tiny,pulse_vector_trip_tier_small,pulse_vector_trip_tier_medium,pulse_vector_trip_tier_large,pulse_simplified_loops,pulse_licm_hits,pulse_sccp_hits,pulse_gvn_hits,pulse_bce_hits,pulse_simplify_hits,pulse_dce_hits
vector_rr_o0,vector,Vector Fusion RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o0.R,969.4;843.8;1126.5,979.9,969.4,141.6,843.8,1126.5,RR-emitted R on GNU R at -O0,106,3137,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vector_rr_o0_warm,vector,Vector Fusion RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o0_warm.R,490.0;571.1;543.4,534.8,543.4,41.2,490.0,571.1,RR-emitted O0 kernel averaged across repeated warm calls in one R process,106,3137,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vector_rr_o1,vector,Vector Fusion RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o1.R,382.7;377.1;403.5,387.8,382.7,13.9,377.1,403.5,RR-emitted R on GNU R at -O1,75,2623,0,1,0,0,0,0,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,29,0,3,1,0,6,5,28,1
vector_rr_o1_warm,vector,Vector Fusion RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o1_warm.R,37.2;37.0;41.5,38.6,37.2,2.6,37.0,41.5,RR-emitted O1 kernel averaged across repeated warm calls in one R process,75,2623,0,1,0,0,0,0,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,29,0,3,1,0,6,5,28,1
vector_rr_o2,vector,Vector Fusion RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o2.R,330.0;321.9;357.3,336.4,330.0,18.5,321.9,357.3,RR-emitted R on GNU R at -O2,75,2623,0,1,0,0,0,0,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,29,0,3,1,0,6,5,28,1
vector_rr_o2_warm,vector,Vector Fusion RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o2_warm.R,36.0;36.2;32.4,34.8,36.0,2.1,32.4,36.2,RR-emitted O2 kernel averaged across repeated warm calls in one R process,75,2623,0,1,0,0,0,0,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,29,0,3,1,0,6,5,28,1
orbital_rr_o0,orbital,Orbital Sweep RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o0.R,486.8;448.2;464.9,466.6,464.9,19.4,448.2,486.8,RR-emitted R on GNU R at -O0,108,3295,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orbital_rr_o0_warm,orbital,Orbital Sweep RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o0_warm.R,165.2;159.5;164.1,162.9,164.1,3.0,159.5,165.2,RR-emitted O0 kernel averaged across repeated warm calls in one R process,108,3295,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orbital_rr_o1,orbital,Orbital Sweep RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o1.R,478.5;468.1;452.3,466.3,468.1,13.2,452.3,478.5,RR-emitted R on GNU R at -O1,106,3228,0,3,0,0,0,0,3,1,2,53,50,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,28,24,3,1,0,6,4,26,1
orbital_rr_o1_warm,orbital,Orbital Sweep RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o1_warm.R,188.0;169.3;151.3,169.5,169.3,18.4,151.3,188.0,RR-emitted O1 kernel averaged across repeated warm calls in one R process,106,3228,0,3,0,0,0,0,3,1,2,53,50,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,28,24,3,1,0,6,4,26,1
