id,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes,emit_lines,emit_bytes,emit_for_loops,emit_repeat_loops,emit_rr_index_reads,emit_rr_index_writes,emit_rr_call_map_helpers,emit_assign_slice_helpers,emit_sym_helpers,pulse_vectorized,pulse_reduced,pulse_vector_loops_seen,pulse_vector_skipped,pulse_vector_candidate_total,pulse_vector_candidate_reductions,pulse_vector_candidate_conditionals,pulse_vector_candidate_recurrences,pulse_vector_candidate_shifted,pulse_vector_candidate_call_maps,pulse_vector_candidate_expr_maps,pulse_vector_candidate_scatters,pulse_vector_candidate_cube_slices,pulse_vector_candidate_basic_maps,pulse_vector_candidate_multi_exprs,pulse_vector_candidate_2d,pulse_vector_candidate_3d,pulse_vector_candidate_call_map_direct,pulse_vector_candidate_call_map_runtime,pulse_vector_applied_total,pulse_vector_applied_reductions,pulse_vector_applied_conditionals,pulse_vector_applied_recurrences,pulse_vector_applied_shifted,pulse_vector_applied_call_maps,pulse_vector_applied_expr_maps,pulse_vector_applied_scatters,pulse_vector_applied_cube_slices,pulse_vector_applied_basic_maps,pulse_vector_applied_multi_exprs,pulse_vector_applied_2d,pulse_vector_applied_3d,pulse_vector_applied_call_map_direct,pulse_vector_applied_call_map_runtime,pulse_vector_trip_tier_tiny,pulse_vector_trip_tier_small,pulse_vector_trip_tier_medium,pulse_vector_trip_tier_large,pulse_simplified_loops,pulse_licm_hits,pulse_sccp_hits,pulse_gvn_hits,pulse_bce_hits,pulse_simplify_hits,pulse_dce_hits
direct_r_scalar,Direct base R (scalar),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_scalar.R,4164.6,4164.6,4164.6,0.0,4164.6,4164.6,loop-based scalar base-R baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_r_vector,Direct base R (vectorized),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_vector.R,680.5,680.5,680.5,0.0,680.5,680.5,idiomatic base-R vector baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_r_vector_warm,"Direct base R (vectorized, warm avg x10)",Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_vector_warm.R,362.1,362.1,362.1,0.0,362.1,362.1,same vector kernel averaged across repeated warm calls in one R process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr_o2_gnur,RR O2 on GNU R,Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2.R,590.4,590.4,590.4,0.0,590.4,590.4,RR-emitted R from example/benchmarks/signal_pipeline_bench.rr at -O2,74,2768,0,1,0,0,0,0,2,4,0,13,9,6,0,1,0,0,2,3,0,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,1,5,0
rr_o2_gnur_warm,RR O2 on GNU R (warm avg x10),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2_warm.R,362.6,362.6,362.6,0.0,362.6,362.6,RR-emitted O2 kernel averaged across repeated warm calls in one R process,74,2768,0,1,0,0,0,0,2,4,0,13,9,6,0,1,0,0,2,3,0,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,1,5,0
c_o3,C O3 native,clang 17,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_c,33.2,33.2,33.2,0.0,33.2,33.2,single-threaded clang -O3 build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy,NumPy,python3,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_numpy.py,281.9,281.9,281.9,0.0,281.9,281.9,vectorized array math on CPython,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julia,Julia,julia,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline.jl,826.9,826.9,826.9,0.0,826.9,826.9,Base Julia loops with @inbounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
